,leftWrist
0,118.47832943214982
1,119.26459523954281
2,117.68007508511673
3,117.56258359678989
4,109.48188989542803
5,115.36355103964007
6,112.83457715223736
7,124.62060356882296
8,140.6629795415856
9,165.53287253769454
10,286.4045780642023
11,333.4980696741245
12,344.6486274927043
13,365.76844449173154
14,381.7994968993191
15,388.44696163667317
16,391.68819917315176
17,391.36395762402725
18,392.9377431906615
19,362.69234861381324
20,175.3422718567607
21,158.7647054353113
22,146.38084797543775
23,140.23298805325877
24,135.75981882295721
