,leftWrist
0,90.01364147616732
1,82.76830769698444
2,81.93585466318095
3,66.07712563837549
4,62.136097473857006
5,62.24405132842898
6,58.469447273224716
7,99.84661888983464
8,105.27516643360894
9,135.9355240758755
10,160.48322744406616
11,365.17133542071986
12,390.10609192607006
13,395.7449993920234
14,395.45689445525295
15,390.97945038910507
16,383.7529258876459
17,155.9378419868677
18,129.66523285505838
19,111.73963019820039
20,107.55361594114785
21,112.29015305812257
22,114.34247324902725
23,117.98185949659532
